,Team,smallest_value,score
8, Brazil,1,Champion
78, Uruguay,1,Champion
2, Argentina,1,Champion
38, Italy,1,Champion
68, Spain,1,Champion
25, England,1,Champion
26, France,1,Champion
27, Germany[a],1,Champion
69, Sweden,2,Finalist
45, Netherlands,2,Finalist
32, Hungary,2,Finalist
19, Czech Republic[f],2,Finalist
17, Croatia,2,Finalist
59, Russia[e],3,Semifinals
55, Portugal,3,Semifinals
54, Poland,3,Semifinals
44, Morocco,3,Semifinals
63, Serbia[c],3,Semifinals
67, South Korea,3,Semifinals
77, United States,3,Semifinals
12, Chile,3,Semifinals
9, Bulgaria,3,Semifinals
4, Austria,3,Semifinals
5, Belgium,3,Semifinals
74, Turkey,3,Semifinals
18, Cuba,4,Quarterfinals
43, Mexico,4,Quarterfinals
48, North Korea,4,Quarterfinals
49, Northern Ireland[m],4,Quarterfinals
75, Ukraine,4,Quarterfinals
52, Paraguay,4,Quarterfinals
53, Peru,4,Quarterfinals
57, Republic of Ireland[n],4,Quarterfinals
58, Romania,4,Quarterfinals
70, Switzerland,4,Quarterfinals
28, Ghana,4,Quarterfinals
10, Cameroon,4,Quarterfinals
62, Senegal,4,Quarterfinals
14, Colombia,4,Quarterfinals
20, Denmark,4,Quarterfinals
16, Costa Rica,4,Quarterfinals
79, Wales,4,Quarterfinals
50, Norway,5,2nd Round
60, Saudi Arabia,5,2nd Round
64, Slovakia,5,2nd Round
47, Nigeria,5,2nd Round
0, Algeria,5,2nd Round
22, Ecuador,5,2nd Round
29, Greece,5,2nd Round
3, Australia,5,2nd Round
21, East Germany[a],5,2nd Round
41, Japan,5,2nd Round
1, Angola,6,1nd Round
6, Bolivia,6,1nd Round
73, Tunisia,6,1nd Round
72, Trinidad and Tobago,6,1nd Round
65, Slovenia,6,1nd Round
7, Bosnia and Herzegovina,6,1nd Round
11, Canada,6,1nd Round
13, China PR[j],6,1nd Round
15, Congo DR[h],6,1nd Round
66, South Africa,6,1nd Round
76, United Arab Emirates,6,1nd Round
71, Togo,6,1nd Round
42, Kuwait,6,1nd Round
23, Egypt[k],6,1nd Round
61, Scotland,6,1nd Round
24, El Salvador,6,1nd Round
30, Haiti,6,1nd Round
31, Honduras,6,1nd Round
56, Qatar,6,1nd Round
33, Iceland,6,1nd Round
34, Indonesia[g],6,1nd Round
35, Iran,6,1nd Round
36, Iraq,6,1nd Round
51, Panama,6,1nd Round
37, Israel[l],6,1nd Round
40, Jamaica,6,1nd Round
46, New Zealand,6,1nd Round
39, Ivory Coast,6,1nd Round
